Instancias,Plantas,Produtos,Periodos,Bin_vars,Setup_time,Setup_cost,Capacidade,Obj_RF_1_0,Time_RF_1_0,Obj_RF_2_0,Time_RF_2_0,Obj_RF_2_1,Time_RF_2_1,Obj_RF_3_0,Time_RF_3_0,Obj_RF_3_1,Time_RF_3_1,Obj_RF_3_2,Time_RF_3_2,Obj_RF_4_0,Time_RF_4_0,Obj_RF_4_1,Time_RF_4_1,Obj_RF_4_2,Time_RF_4_2,Obj_RF_4_3,Time_RF_4_3,Obj_RF_6_0,Time_RF_6_0,Obj_RF_6_1,Time_RF_6_1,Obj_RF_6_2,Time_RF_6_2,Obj_RF_6_3,Time_RF_6_3,Obj_RF_6_4,Time_RF_6_4,Obj_RF_6_5,Time_RF_6_5,Obj_RF_T_0,Time_RF_T_0
ABA03_12_2_60,2,60,12,1440,high,normal,tight,286806.28,6.9,285724.07,5.55,284758,13.46,285153.56,8.04,284511.99,12,284304.46,16.6,284867.83,10.1,284438.45,10.1,284301.34,29.9,284259.03,31.6,284627.19,127.15,284317.91,79.58,284241.39,78.1,284199.42,85.29,284146.5,86.28,284153.81,252.18,284116.27,1800.2
ABA03_12_2_120,2,120,12,2880,high,normal,tight,581461.24,16.4,577210.84,10.4881,575623.7,30.51,576544,17.57,575311.62,28.3,575090.04,49,575516.41,50.2,575090.71,55.4,574912.29,66.2,574910,106.3,575458.21,76.2,574933.94,67.88,574845.89,95.5,574834.58,76.31,574818.03,112.12,574807.97,256.12,574802.96,696.9
ABA03_12_4_10,4,10,12,480,high,normal,tight,89626.35,6,89578.06,7.17,89544.95,9.83,89541.57,23.53,89539.8,13.5,89544.04,35,89543.06,39.6,89531.77,39,89531.77,60.4,89532,79.4,89529.06,211.45,89529.06,213.74,89529.06,184.8,89529.06,198.72,89529.06,211.95,89529.06,339.45,89531.77,1800.1
ABA03_12_4_60,4,60,12,2880,high,normal,tight,521241.75,25.6,520903.35,32.86,520753.45,47.34,520741.49,41.88,520675.65,86.8,520644.5,78.4,520643.59,134.2,520639.49,119.6,520599.6,127.1,520605.06,157,520675.11,368.63,520626.41,274.21,520598.71,196.8,520597.73,234.95,520592.62,217.13,520592.5,537.81,520582.02,1800.3
ABA03_12_4_120,4,120,12,5760,high,normal,tight,1078184.93,63.2,1077650.08,53.63,1077081.5,136.67,1077255.87,196.1,1077077.67,141.5,1077001.09,330.9,1077087.33,298.2,1076993.93,333.9,1076924.17,396.1,1076953.01,674.2,1076997.86,642.31,1077027.49,531.64,1076942.08,433.4,1076951.34,675.21,1076930.11,945.53,1076943.37,1756.87,1076925.64,1800.3
ABA03_12_6_10,6,10,12,720,high,normal,tight,129190.12,9,129146.05,5.84,129113.94,14.03,129121.21,20.88,129096.84,12.2,129096.84,26.3,129113.12,19.8,129098.7,25.4,129096.84,20.7,129096.84,32.2,129120.59,62.48,129102.72,76.99,129096.84,63.1,129096.84,132.02,129096.84,181.61,129096.84,419.06,129096.84,837.4
ABA03_12_6_60,6,60,12,4320,high,normal,tight,775503.83,28.5,775085.5,32.16,775075.9,91.09,775008.95,80.27,774995.01,80.4,774900.31,158.6,774940.25,126.8,774932.7,87.6,774916.34,173.6,774921.91,191.6,774905.96,212.53,774958.86,179.73,774918.22,159.9,774882.35,237.44,774907.68,277.47,774897.56,848.13,774871.72,954
ABA03_12_6_120,6,120,12,8640,high,normal,tight,1550368.8,80.3,1549987.79,101.4664,1549966.98,182.65,1549901.49,130.33,1549922.97,159.8,1549761.66,231.2,1549724.75,167.3,1549681.47,170.1,1549767.55,326.6,1549690.54,340.6,1549634.28,347.16,1549643.55,272.93,1549699.17,163.8,1549608.4,305.19,1549620.9,612.96,1549630.3,1345.76,1549583.61,664.3
ABA03_12_15_10,15,10,12,1800,high,normal,tight,306745.37,55.9,306709.26,98.75,306693.46,168.88,306699.97,411.7,306706.69,308.7,306693.65,522.1,306702.94,681.2,306691.61,341.5,306693.55,844.2,306693.84,992.3,306692.51,1547.15,306694.58,976.11,306691.61,1281.1,306691.61,1644.96,306699.76,1615.89,306718.14,1800.34,306691.61,1800.1
ABA03_12_15_60,15,60,12,10800,high,normal,tight,1820892.17,330.6,1820516.16,248.28,1820416.64,577.22,1820323.87,458.85,1820349.05,584.7,1820372.14,839.6,1820108.83,694.5,1820257.65,573.7,1820322.03,634.4,1820285.32,1267.9,1820106.82,911.22,1820167.31,763.54,1820156.99,991.9,1820043.06,889.19,1820170.76,1147.78,1820479.42,1802.38,1820266.94,854.1
ABA03_12_15_120,15,120,12,21600,high,normal,tight,3619227.43,1325.1,3599797.64,1326.732,3696195.79,1608.17,3606811.88,1355.54,4014092.58,1391.7,4539045.76,1678.5,3601154.92,1228.7,3938411.3,1403.8,3605542.06,1474.2,7922359.24,1757.7,3599644.52,836.13,3599732.73,935.15,3599885.11,1303.6,3599508.74,1409.81,3601312.62,1621.06,8977890.57,1801.19,3600175.71,1190.7
ABA03_12_20_10,20,10,12,2400,high,normal,tight,401305.7,102.8,401207.32,223.64,401216.32,326.41,401192.39,963.97,401185.27,980.3,401183.07,1533.2,401189.92,1517.4,401205.95,1251,401199.42,1710.5,401224.94,1800.7,401198.39,1800.17,401213.42,1211.51,401221.38,1440.9,401199.1,1800.27,401314.7,1800.47,401391.54,1800.65,401196.09,1800.6
ABA03_12_20_60,20,60,12,14400,high,normal,tight,2379446.81,745.8,2379815.5,1021.62,2379694.41,1306.48,2378673.69,817.93,2378747.12,1049.7,2381842.64,1554.2,2378760.77,759.4,2378842.25,651.6,2378690.02,1168.9,5050331.15,1589.6,2378729.93,909.33,2378787.93,965.89,2378823.64,1190.9,2378764.37,1255.72,2378791.9,1663.12,4894795.96,1791.97,2379168.48,1800.3
ABA03_12_20_120,20,120,12,28800,high,normal,tight,5425042.52,1619.9,5259784.12,1510.79,5801474.6,1736.67,4755156.79,1483.5,5356477.81,1504.3,11528298.11,1720.5,4756231.4,1432,5650363.86,1492.4,5720785.7,1660.7,6235134.75,1803.2,4755162.67,1442.54,4754821.54,1388.05,9468157.81,1801.3,10725153.34,1801.32,11554299.02,1801.95,13210464.57,1803.03,4795685.12,1710.3
ABA04_12_2_10,2,10,12,240,high,normal,tight,49337.64,0.7,49067.33,1.21,48985.92,1.93,49053.41,1.15,48953.97,1.4,48929.09,3.1,48955.24,1.1,48960.51,1.7,48924.37,3.7,48896.3,4.5,48965.3,3.03,48873.35,12.5,48873.35,14.1,48885.17,4.69,48873.35,14.82,48873.35,34.25,48871.27,240.6
ABA04_12_2_60,2,60,12,1440,high,normal,tight,303975.7,5.1,303084.67,6.5006,302199.43,12.02,302650.13,14.59,301994.31,22.6,301928.66,28.2,302334.33,23,301863.31,24.2,301912.71,33.5,301849.86,97.9,302031.21,73.04,301869.51,79.19,301858.89,176.3,301793.54,129.07,301777.23,178.68,301768.93,254.95,301750.86,1800.2
ABA04_12_2_120,2,120,12,2880,high,normal,tight,592462.75,9.8,590350.28,12.67,588453.2,22.99,588572.15,18.71,587844.29,15.6,587530.75,46.4,588373.05,16.7,587569.55,26.2,587405.25,31.7,587323.86,90.7,587350.6,39.21,587281.41,56.28,587262.54,133.9,587230.8,187.83,587235.19,177.86,587243.04,237.2,587216.01,731.7
